BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,BEGIN_HH,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing,
201909,18,1552,15,201909,18,1552,141328,848806,FLORIDA,12,2019,September,Thunderstorm Wind,C,123,TAYLOR,TAE,9/18/19 15:52,"Wednesday, September 18, 2019",EST-5,9/18/19 15:52,0,0,0,0,3.00K,0.00K,Utility Company,50,EG,,,,,,,,,,2,ENE,PERRY,2,ENE,PERRY,30.1263,-83.551,30.1263,-83.551,"As is typical during summer, scattered afternoon thunderstorms produced strong to marginally severe winds.",Fallen trees or limbs resulted in a power outage to 39 customers along County Road 255A.,CSV,S848806,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,290,vil,9/18/19 20:52,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,141328,848806,Thunderstorm Wind,28.65076421,-85.78069905,31.54449301,-81.27790782,#NAME?,384,384,384000,384000,0,254,0,43726.6611111111PERRY
201905,7,1615,16,201905,7,1620,136072,816570,TEXAS,48,2019,May,Hail,C,495,WINKLER,MAF,5/7/19 16:15,"Tuesday, May 7, 2019",CST-6,5/7/19 16:20,0,0,0,0,,,Public,1,,,,,,,,,,,4,NE,WINK JCT STATION,4,NE,WINK JCT STATION,31.7929,-103.0658,31.7929,-103.0658,"An upper level trough was over Arizona and New Mexico with a dryline across parts of southeast New Mexico and West Texas. Very good moisture and instability were present to the east of the dryline. Good wind shear (changing wind direction and speed with height) was present as well as an area of increase in upper level winds (upper jet) which resulted in an increase in upper lift. The combination of good lift, moisture, instability, and wind shear contributed to thunderstorms with large hail, strong winds, and a tornado across parts of West Texas.",,CSV,S816570,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,109,vil,5/7/19 22:15,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,136072,816570,Hail,29.95301962,-104.9662114,33.58601676,-101.1075568,#NAME?,384,384,384000,384000,0,254,0.371969694,43592.6770833333WINK JCT STATION
201906,12,1611,16,201906,12,1611,136430,839573,ALABAMA,1,2019,June,Thunderstorm Wind,C,49,DEKALB,HUN,6/12/19 16:11,"Wednesday, June 12, 2019",CST-6,6/12/19 16:11,0,0,0,0,0.20K,0.00K,State Official,43,EG,,,,,,,,,,1,W,HENAGAR,1,W,HENAGAR,34.47,-75.79,34.47,-85.79,One of several supercell thunderstorms developed during the mid to late afternoon hours east of the I-65 corridor in northeast Alabama.  One of these thunderstorms produced hail up to one inch in diameter.,A tree was knocked down at this location.,CSV,S839573,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,556,vil,6/12/19 22:11,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,136430,839573,Thunderstorm Wind,32.94639267,-88.10405891,35.91638522,-83.41778334,#NAME?,384,384,384000,384000,0,254,0,43628.6743055556HENAGAR
201907,4,1530,15,201907,4,1530,140633,845380,VIRGINIA,51,2019,July,Thunderstorm Wind,C,117,MECKLENBURG,AKQ,7/4/19 15:30,"Thursday, July 4, 2019",EST-5,7/4/19 15:30,0,0,0,0,2.00K,0.00K,Law Enforcement,50,EG,,,,,,,,,,1,E,BIG FORK,1,E,BIG FORK,36.67,-78.21,36.67,-78.21,Isolated severe thunderstorm associated with a weak surface trough produced damaging winds across portions of south central Virginia.,Trees were downed throughout the eastern half of the county.,CSV,S845380,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,476,vil,7/4/19 20:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,140633,845380,Thunderstorm Wind,35.32844287,-80.73930194,37.94381401,-75.59336979,#NAME?,384,384,384000,384000,0,254,0,43650.6458333333BIG FORK
201908,26,600,6,201908,26,635,139891,841504,MISSISSIPPI,28,2019,August,Flash Flood,C,127,SIMPSON,JAN,8/26/19 6:00,"Monday, August 26, 2019",CST-6,8/26/19 6:35,0,0,0,0,2.00K,0.00K,Department of Highways,,,Heavy Rain,,,,,,,,,1,NE,MERIT,2,NNE,MERIT,31.93,-89.91,31.9391,-89.905,"A very moist airmass was in place across the region. A low pressure system moved north out of the Gulf of Mexico and a shortwave trough was moving through the region, both of which combined with this moist air to bring efficient rainfall to the region. Some of this heavy rain resulted in flash flooding across portions of central Mississippi.",Mississippi Highway 43 was closed between Mississippi Highway 13 and Hux Hill Drive due to water over the road.,CSV,S841504,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,484,vil,8/26/19 12:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,139891,841504,Flash Flood,30.31947487,-92.06980965,33.46965906,-87.69487443,#NAME?,384,384,384000,384000,0,233,0,43703.25MERIT
201904,14,1752,17,201904,14,1752,136101,816753,VIRGINIA,51,2019,April,Thunderstorm Wind,C,79,GREENE,LWX,4/14/19 17:52,"Sunday, April 14, 2019",EST-5,4/14/19 17:52,0,0,0,0,,,State Official,50,EG,,,,,,,,,,1,N,QUINQUE,1,N,QUINQUE,38.26,-78.4,38.26,-78.4,"A warm front crossed central and northern Virginia from south to north during the morning hours of April 14th, allowing for increasing warm and moist air to move overhead. During the afternoon and evening, low pressure moved through the Ohio Valley and into the eastern Great Lakes, leading to an increase in the wind field across all levels and therefore an increase in deep layer shear. Instability remained somewhat limited, but was enough to produce showers and scattered thunderstorms during the afternoon and evening hours, some of which became severe. A second round of showers and thunderstorms then moved across central and northern Virginia as a strong cold front crossed the region during the late evening and overnight hours. These thunderstorms took the form of a quasi-linear convective system which became severe and produced locally damaging winds.",A large tree was blown down on Stephens Loop.,CSV,S816753,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,492,vil,4/14/19 22:52,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,136101,816753,Thunderstorm Wind,36.9100734,-80.997724,39.52653159,-75.72958036,#NAME?,384,384,384000,384000,0,254,0.09068454,43569.7444444444QUINQUE
201907,21,1330,13,201907,21,1332,140002,842262,NORTH DAKOTA,38,2019,July,Funnel Cloud,C,103,WELLS,BIS,7/21/19 13:30,"Sunday, July 21, 2019",CST-6,7/21/19 13:32,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,5,SSW,HURDSFIELD,5,SSW,HURDSFIELD,47.39,-99.94,47.39,-99.94,Rain showers and a few thunderstorms developed over North Dakota in broad cyclonic flow aloft. Funnel clouds were reported in Wells County and in Ward County.,,CSV,S842262,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,281,vil,7/21/19 19:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,140002,842262,Funnel Cloud,45.5930304,-102.36257,49.13176051,-97.39809349,#NAME?,384,384,384000,384000,0,240,0,43667.5625HURDSFIELD
201908,2,1205,12,201908,2,1225,140202,843272,FLORIDA,12,2019,August,Heavy Rain,C,83,MARION,JAX,8/2/19 12:05,"Friday, August 2, 2019",EST-5,8/2/19 12:25,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,1,NE,DALLAS,1,NE,DALLAS,28.98,-82.02,28.98,-82.02,High atmospheric moisture (PWAT > 2 inches) combined with several weak low level boundaries under fairly warm mid level temperatures and near parallel upper level flow promoted locally heavy rainfall in sea breeze and airmass storms.,An observer measured 0.80 inches of rainfall in 20 minutes.,CSV,S843272,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,316,vil,8/2/19 17:05,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,140202,843272,Heavy Rain,27.52824257,-84.24322893,30.36226677,-79.75389121,#NAME?,384,384,384000,384000,0,246,0,43679.5034722222DALLAS
201904,26,1332,13,201904,26,1332,136465,819037,VIRGINIA,51,2019,April,Thunderstorm Wind,C,59,FAIRFAX,LWX,4/26/19 13:32,"Friday, April 26, 2019",EST-5,4/26/19 13:32,0,0,0,0,,,NWS Storm Survey,50,EG,,,,,,,,,,0,E,HERNDON HGTS,0,E,HERNDON HGTS,38.98,-77.3985,38.98,-77.3985,"An upper level trough east of the Mississippi River on the morning of April 26th deepened and closed off over the eastern Great Lakes by the morning of April 27th. A forced convective line was ongoing in the morning hours of April 26th over West Virginia and progressed eastward into Virginia during the afternoon hours. A few individual cells also formed ahead of this convective line. Modest instability developed during the late morning and early afternoon hours which helped to support showers and thunderstorms across the region, and this combined with moderate levels of wind shear led to strong to severe thunderstorms which produced locally damaging winds.",Several trees and branches were blown down from southwest to northeast near the intersection of Crestview Drive and Bond Street.,CSV,S819037,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,771,vil,4/26/19 18:32,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,136465,819037,Thunderstorm Wind,37.65528476,-80.03150938,40.21854488,-74.65901731,#NAME?,384,384,384000,384000,0,254,0,43581.5638888889HERNDON HGTS
201908,10,1620,16,201908,10,1620,139093,843719,MAINE,23,2019,August,Hail,C,3,AROOSTOOK,CAR,8/10/19 16:20,"Saturday, August 10, 2019",EST-5,8/10/19 16:20,0,0,0,0,,,Public,1.5,,,,,,,,,,,1,E,DYER BROOK,1,E,DYER BROOK,46.08,-68.1591,46.08,-68.1591,A surface trof and cold pool aloft with an upper low crossed the region during the afternoon of the 10th. Showers and thunderstorms developed during the afternoon. Some of the thunderstorms became severe...mostly producing large hail due to the cold pool aloft. Most of the severe thunderstorms occurred across Aroostook county...with an isolated severe thunderstorm also occurring in coastal Hancock county.,Hail up to 1.50 inches was reported. The hail covered the ground.,CSV,S843719,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,116,vil,8/10/19 21:20,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,139093,843719,Hail,45.01368233,-71.38672805,47.04464631,-64.84373653,#NAME?,384,384,384000,384000,0,254,0,43687.6805555556DYER BROOK
